# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 1 | GET | http://localhost:3000/@react-refresh | failed - 304 |
| 2 | GET | http://localhost:3000/node_modules/vite/dist/client/env.mjs | failed - 304 |
| 3 | GET | http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=31788feb | success - 200 |
| 4 | GET | http://localhost:3000/node_modules/.vite/deps/react.js?v=31788feb | success - 200 |
| 5 | GET | http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=baae4a24 | success - 200 |
| 6 | GET | http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=09b01398 | success - 200 |
| 7 | GET | http://localhost:3000/src/App.tsx?t=1775641750505 | success - 200 |
| 8 | GET | http://localhost:3000/src/globals.css?t=1775641750505 | failed - 304 |
| 9 | GET | http://localhost:3000/node_modules/.vite/deps/chunk-EUHAVL2Q.js?v=ac3c18c6 | success - 200 |
| 10 | GET | http://localhost:3000/node_modules/.vite/deps/chunk-2TUXWMP5.js?v=ac3c18c6 | success - 200 |
| 11 | GET | http://localhost:3000/src/pages/HomePage.tsx?t=1775641750505 | success - 200 |
| 12 | GET | http://localhost:3000/src/pages/DashboardPage.tsx?t=1775641750505 | failed - 304 |
| 13 | GET | http://localhost:3000/src/pages/FeaturesPage.tsx | failed - 304 |
| 14 | GET | http://localhost:3000/src/pages/LoginPage.tsx?t=1775641750505 | failed - 304 |
| 15 | GET | http://localhost:3000/src/pages/PricingPage.tsx | failed - 304 |
| 16 | GET | http://localhost:3000/src/pages/ReviewPage.tsx?t=1775641750505 | failed - 304 |
| 17 | GET | http://localhost:3000/src/pages/SolutionsPage.tsx | failed - 304 |
| 18 | GET | http://localhost:3000/src/pages/StaffPage.tsx?t=1775641750505 | success - 200 |
| 19 | GET | http://localhost:3000/src/pages/TestPage.tsx | failed - 304 |
| 20 | GET | http://localhost:3000/src/pages/TestimonialsPage.tsx | failed - 304 |
| 21 | GET | http://localhost:3000/node_modules/.vite/deps/chunk-5MXL5BYH.js?v=ac3c18c6 | success - 200 |
| 22 | GET | http://localhost:3000/src/components/Navbar.tsx | failed - 304 |
| 23 | GET | http://localhost:3000/src/components/Hero.tsx | failed - 304 |
| 24 | GET | http://localhost:3000/src/components/Features.tsx | failed - 304 |
| 25 | GET | http://localhost:3000/src/components/BookingForm.tsx?t=1775641750505 | failed - 304 |
| 26 | GET | http://localhost:3000/src/components/ChatWidget.tsx?t=1775641750505 | failed - 304 |
| 27 | GET | http://localhost:3000/src/components/ClientOnly.tsx | failed - 304 |
| 28 | GET | http://localhost:3000/src/components/StaffManagement.tsx?t=1775641750505 | failed - 304 |
| 29 | GET | http://localhost:3000/node_modules/.vite/deps/framer-motion.js?v=79dd558b | success - 200 |
| 30 | GET | http://localhost:3000/src/api.ts?t=1775641750505 | failed - 304 |
